codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
25214,0.9968778828306414,3711002.9499999997,7113.732857142857,2773783.5785714285
25224,0.7004445528240578,1005581.6357142858,115669.76857142858,253141.60857142857
25245,0.8649801101464561,879966.9285714285,46357.08428571429,240659.0214285714
25258,0.37705475607036415,1761189.4085714284,243186.62857142856,125882.58857142857
25260,0.8848324799546031,697739.3114285714,41768.29285714286,255673.96142857143
25269,0.9375431254387226,714374.2057142857,23556.938571428567,241337.64428571428
25279,0.7511570462964281,1105074.6842857143,72302.40857142858,129060.5642857143
25281,0.41393927832261623,1372868.8642857145,264975.4242857143,91605.09571428572
25286,0.9903856046956888,1503735.94,5547.814285714287,909552.8714285714
25288,0.7573114370453801,1569512.8014285713,117326.11142857143,348905.01000000007
25290,0.9923781316283972,984662.2328571428,2682.355,319786.22571428574
25293,0.5550631708344577,3324985.564285714,274799.77714285714,305445.5442857143
25295,0.9041969809517887,867744.3728571428,49702.90142857143,383174.98
25297,0.6353854765380875,1473732.05,119962.67714285714,178950.20714285714
25299,0.5054463625418327,2290740.947142857,200847.72285714286,156545.05142857143
25307,0.9831446871557938,1047877.33,6867.925714285715,336685.64999999997
25312,0.7897573562279332,1168828.5542857142,86059.77,275960.45857142855
25317,0.7747953491225729,959813.4014285713,70642.08714285714,211151.69571428568
25320,0.8816171737870884,764503.7414285715,27136.62,192570.78
25322,0.8615630449263779,1171078.6033333333,79998.62666666666,456972.21
25324,0.5278174272614649,2154894.63,320403.4471428571,223337.23428571428
25326,0.7241874117877936,1482701.7657142857,110583.46714285715,222889.58714285717
25328,0.6052224314351997,1640852.0,142275.79285714286,153536.00857142857
25335,0.780191011062031,1894879.434285714,174417.29857142858,532948.2857142857
25339,0.49190371319767406,2365853.8285714285,217537.27285714285,131690.96285714285
25368,0.4798082198222254,3159683.7399999998,469011.8814285714,255645.04
25372,0.504048836572253,1602306.1785714286,136313.93285714285,103409.18714285713
25377,0.9576156216248533,944414.22,25499.395714285714,563416.3214285715
25386,0.9441389900156235,995503.4471428571,26085.76714285714,419118.35714285716
25394,0.5042850739358428,1194677.307142857,121521.60714285714,89196.05
25398,0.37350704491593695,2090755.6871428571,224818.89142857143,117971.22714285714
25402,0.9038188699351581,1082816.8800000001,51336.77999999999,440435.6185714285
25407,0.659238082320203,940248.6042857143,90589.85571428572,131423.41571428571
25426,0.5953053581112654,1653523.2628571428,165393.28,192042.17285714284
25430,0.9909467993922855,686578.9828571428,3588.957142857143,427871.54142857145
25436,0.5288862398800608,1453284.2014285715,171020.96142857143,112291.73
25438,0.5555579476651171,1146928.1257142858,107696.89,119973.77
25473,0.9933839689230838,1192321.5771428572,3526.8971428571426,585107.9014285714
25483,0.5729802068912847,2120527.5742857144,355835.53428571427,305909.01714285713
25486,0.8853023688917075,832815.9928571429,45798.624285714286,273414.6942857143
25488,0.8964320096826555,1124575.612857143,75581.11428571427,584881.2242857142
25489,0.5405793087080416,1796572.1157142858,270982.7385714286,194931.81142857144
25491,0.6488141081093824,1228889.2371428572,116063.74,160322.74857142856
